CitationID,Location,Year,Theme,Number
1,United States,1998,Climate,1
2,Italy,1998,Climate,1
3,Senegal,2001,Climate,1
4,Venezuela,2011,Climate,1
5,United States,2021,Dinosaurs,1
6,United States,2023,Dinosaurs,1
7,United States,2022,Dinosaurs,1
8,Canada,2024,Climate,1
9,Mexico,2020,Clouds,1
10,Mexico,1999,Clouds,1
11,Paraguay,1989,Clouds,1
12,Uruguay,2013,Climate,1
13,Mexico,2022,Chipmunks,1
14,United States,2023,Chimps,1
15,United States,2022,Chimps,1
16,United States,2021,Climate,1
17,Canada,2023,Clouds,1
18,United States,2024,Climate,1
19,Paraguay,2024,Chimps,1
